3/24/1998,26.11,
3/25/1998,25.41,
3/26/1998,25.00,
3/27/1998,24.77,
3/30/1998,24.25,
3/31/1998,24.83,
4/1/1998,25.24,
4/2/1998,24.94,
4/3/1998,24.65,
4/6/1998,23.90,
4/7/1998,24.68,
4/8/1998,25.44,
4/9/1998,26.37,
4/13/1998,25.90,
4/14/1998,25.76,
4/15/1998,26.11,
4/16/1998,25.79,
4/17/1998,25.93,
4/20/1998,26.49,
4/21/1998,26.54,
4/22/1998,26.43,
4/23/1998,26.60,
4/24/1998,26.08,
4/27/1998,25.35,
4/28/1998,25.41,
4/29/1998,25.00,
4/30/1998,25.99,
5/1/1998,25.87,
5/4/1998,25.90,
5/5/1998,25.51,
5/6/1998,25.67,
5/7/1998,25.64,
5/8/1998,26.40,
5/11/1998,26.31,
5/12/1998,26.25,
5/13/1998,26.05,
5/14/1998,25.67,
5/15/1998,25.76,
5/18/1998,25.76,
5/19/1998,25.18,
5/20/1998,25.29,
5/21/1998,24.83,
5/22/1998,24.94,
5/26/1998,25.32,
5/27/1998,25.58,
5/28/1998,26.40,
5/29/1998,26.92,
6/1/1998,26.34,
6/2/1998,26.75,
6/3/1998,26.89,
6/4/1998,27.24,
6/5/1998,27.18,
6/8/1998,28.06,
6/9/1998,27.85,
6/10/1998,27.85,
6/11/1998,27.85,
6/12/1998,27.91,
6/15/1998,27.53,
6/16/1998,27.21,
6/17/1998,27.79,
6/18/1998,28.87,
6/19/1998,28.78,
6/22/1998,28.93,
6/23/1998,29.19,
6/24/1998,28.78,
6/25/1998,29.04,
6/26/1998,29.33,
6/29/1998,29.41,
6/30/1998,29.33,
7/1/1998,28.64,
7/2/1998,28.61,
7/6/1998,29.33,
7/7/1998,29.45,
7/8/1998,29.74,
7/9/1998,29.42,
7/10/1998,29.51,
7/13/1998,29.48,
7/14/1998,30.15,
7/15/1998,29.68,
7/16/1998,29.63,
7/17/1998,29.86,
7/20/1998,30.18,
7/21/1998,30.00,
7/22/1998,30.24,
