"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou Sareru",1.5,Preminence
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,1,Preminence
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,0.8,Preminence
Hyouken no Majutsushi ga Sekai wo Suberu,0.6,Preminence
3-gatsu no Lion,9,rafacanto01
3-gatsu no Lion 2,9,rafacanto01
Akame ga Kill!,8.8,rafacanto01
AMNESIA,5,rafacanto01
Angel Beats!,6,rafacanto01
Ansatsu Kyoushitsu,8,rafacanto01
Ao Haru Ride,7.6,rafacanto01
Araburu Kisetsu no Otome-domo yo.,8,rafacanto01
Bakuten!!,7.8,rafacanto01
BANANA FISH,10,rafacanto01
Barakamon,8.3,rafacanto01
BEASTARS,9,rafacanto01
BEASTARS 2,7.8,rafacanto01
Boku dake ga Inai Machi,8.7,rafacanto01
Charlotte,8,rafacanto01
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,6.7,rafacanto01
DEATH NOTE,7.7,rafacanto01
Fumetsu no Anata e,8.6,rafacanto01
Gekkan Shoujo Nozaki-kun,8.5,rafacanto01
Genjitsu Shugi Yuusha no Oukoku Saikenki,7.5,rafacanto01
Hige wo Soru. Soshite Joshikousei wo Hirou.,8.5,rafacanto01
Hitorijime My Hero,7.8,rafacanto01
Horimiya,9,rafacanto01
"Ijiranaide, Nagatoro-san",7.3,rafacanto01
Jujutsu Kaisen,9,rafacanto01
Kageki Shoujo!!,7.9,rafacanto01
Kaichou wa Maid-sama!,8.9,rafacanto01
Kimetsu no Yaiba,9.6,rafacanto01
Kimetsu no Yaiba: Mugen Ressha-hen (TV),8.8,rafacanto01
Kobayashi-san Chi no Maidragon,8.7,rafacanto01
Kobayashi-san Chi no Maidragon S,8.5,rafacanto01
"Komi-san wa, Komyushou desu.",8.5,rafacanto01
Little Witch Academia (TV),7.5,rafacanto01
NARUTO,8.8,rafacanto01
One Punch Man,8.8,rafacanto01
One Punch Man 2,8,rafacanto01
Ookami Shoujo to Kuro Ouji,7.5,rafacanto01
orange,8,rafacanto01
Peach Boy Riverside,6.2,rafacanto01
RE-MAIN,7.5,rafacanto01
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.5,rafacanto01
Sekaiichi Hatsukoi,8,rafacanto01
Sekaiichi Hatsukoi 2,8,rafacanto01
Shakugan no Shana,7.1,rafacanto01
Shinigami Bocchan to Kuro Maid,7,rafacanto01
Shiroi Suna no Aquatope,8.5,rafacanto01
Shokugeki no Souma,8.8,rafacanto01
Shokugeki no Souma: Gou no Sara,8,rafacanto01
Shokugeki no Souma: Ni no Sara,8.8,rafacanto01
Shokugeki no Souma: San no Sara,8,rafacanto01
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,9,rafacanto01
Shokugeki no Souma: Shin no Sara,9,rafacanto01
SK∞,8.7,rafacanto01
Sono Bisque Doll wa Koi wo Suru,8.3,rafacanto01
Sukitte Ii na yo.,8,rafacanto01
"Tantei wa mou, Shindeiru.",6,rafacanto01
Tokyo Ghoul,8.5,rafacanto01
Tokyo Revengers,8.5,rafacanto01
Tonari no Kaibutsu-kun,8.3,rafacanto01
Toradora!,7.8,rafacanto01
Uramichi Oniisan,8,rafacanto01
Vampire Knight,8,rafacanto01
Vampire Knight Guilty,7.8,rafacanto01
Vanitas no Carte,7.8,rafacanto01
Vanitas no Carte Part 2,6.7,rafacanto01
Wotaku ni Koi wa Muzukashii,9.3,rafacanto01
Yuuri!!! on ICE,9,rafacanto01
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,10,rwenmax
Josee to Tora to Sakanatachi,10,rwenmax
Kaichou wa Maid-sama!,10,rwenmax
Koe no Katachi,10,rwenmax
Noragami ARAGOTO,10,rwenmax
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta…,10,rwenmax
Ouran Koukou Host Club,10,rwenmax
Saiki Kusuo no Ψ-nan 2,10,rwenmax
Special A,10,rwenmax
Steins;Gate,10,rwenmax
Ao no Exorcist: Kyoto Fujouou-hen,9,rwenmax
Bakuman. 3,9,rwenmax
CLANNAD,9,rwenmax
Cowboy Bebop,9,rwenmax
Death Parade,9,rwenmax
Go-toubun no Hanayome,9,rwenmax
Grancrest Senki,9,rwenmax
Haiyore! Nyaruko-san F,9,rwenmax
Haiyore! Nyaruko-san W,9,rwenmax
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,9,rwenmax
Irozuku Sekai no Ashita kara,9,rwenmax
Kage no Jitsuryokusha ni Naritakute!,9,rwenmax
Kage no Jitsuryokusha ni Naritakute! 2nd season,9,rwenmax
Kamisama ni Natta Hi,9,rwenmax
Kaze Tachinu,9,rwenmax
Kimi wa Houkago Insomnia,9,rwenmax
Kono Oto Tomare!,9,rwenmax
Kono Oto Tomare! 2,9,rwenmax
Magic Kaito 1412,9,rwenmax
Nakitai Watashi wa Neko wo Kaburu,9,rwenmax
Nogizaka Haruka no Himitsu: Purezza,9,rwenmax
Noragami,9,rwenmax
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,9,rwenmax
Re:Zero kara Hajimeru Isekai Seikatsu,9,rwenmax
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,9,rwenmax
ReLIFE: Kanketsu-hen,9,rwenmax
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,9,rwenmax
Sakasama no Patema,9,rwenmax
Seijo no Maryoku wa Bannou desu Season 2,9,rwenmax
Tate no Yuusha no Nariagari,9,rwenmax
Toki wo Kakeru Shoujo,9,rwenmax
Toradora!,9,rwenmax
